9 de Julio
Acoyte
Agüero
Alberti
Ángel Gallardo
Avenida de Mayo
Avenida La Plata
Belgrano
Boedo
Bolívar
Bulnes
Callao
Callao
Carabobo
Carlos Gardel
Carlos Pellegrini
Caseros
Castro Barros
Catalinas
Catedral
Congreso
Congreso de Tucumán
Constitución
Córdoba
Correo Central
Corrientes
Diagonal Norte
Dorrego
Echeverría
Emilio Mitre
Entre Ríos - Rodolfo Walsh
Facultad de Derecho - Julieta Lanteri
Facultad de Medicina
Federico Lacroze
Florida
General San Martín
General Urquiza
Hospitales
Humberto I
Inclán - Mezquita Al Ahmad
Independencia
Independencia
José Hernández
José María Moreno
Juan Manuel de Rosas - Villa Urquiza
Jujuy
Juramento
Las Heras
Lavalle
Leandro N. Alem
Lima
Loria
De los Incas - Parque Chas
Malabia - Osvaldo Pugliese
Medalla Milagrosa
Medrano - Almagro
Ministro Carranza
Moreno
Olleros
Once - 30 de Diciembre
Palermo
Parque Patricios
Pasco
Pasteur - AMIA
Perú
Pichincha
Piedras
Plaza de los Virreyes - Eva Perón
Plaza de Mayo
Plaza Italia
Plaza Miserere
Primera Junta
Puan
Pueyrredón
Pueyrredón
Retiro
Retiro
Río de Janeiro
Sáenz Peña
San José
San José de Flores
San Juan
San Pedrito
Santa Fe - Carlos Jáuregui
Scalabrini Ortiz
Tribunales - Teatro Colón
Tronador - Villa Ortúzar
Uruguay
Varela
Venezuela
